                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2014.08f on 4 20 2016                              
UCC_2014.08f -i1 fileList.txt -outdir "C:\Users\Swati\Documents\all_files\all_files\dr_class\5_Projects\Test_Suite\2016_1_Spring\Automated_Tests\Tests\Regression test\scripts\ucc_test_suites\version1\output\counting"

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
17,17,17,2.42857,Low,ucc_input/c/input_one/cc_main.cpp

17,17,17,2.42857

                                        RESULTS BY FUNCTION                                        

Cyclomatic Complexity
CC1,CC2,CC3,Risk,Function Name,File Name
1,1,1,Low,void ClearBaselineStats,ucc_input/c/input_one/cc_main.cpp
1,1,1,Low,void results::resetMetrics,ucc_input/c/input_one/cc_main.cpp
1,1,1,Low,void results::reset,ucc_input/c/input_one/cc_main.cpp
1,1,1,Low,void results::clearSLOC,ucc_input/c/input_one/cc_main.cpp
4,4,4,Low,bool results::addSLOC,ucc_input/c/input_one/cc_main.cpp
5,5,5,Low,bool results::addSLOC,ucc_input/c/input_one/cc_main.cpp
4,4,4,Low,bool results::isEmbeddedConsistent,ucc_input/c/input_one/cc_main.cpp

17,Total(CC1)
      2.43,Average(CC1)
