                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                              Generated by UCC v.2014.08f on 4 19 2016                              
UCC_2014.08f -i1 fileList.txt -outdir "C:\Users\Swati\Documents\all_files\all_files\dr_class\5_Projects\Test_Suite\2016_1_Spring\Automated_Tests\Tests\Regression test\scripts\ucc_test_suites\version1\cpp_output\counting"

                                       RESULTS FOR HTML FILES                                       

,,,,HTML,,JS-Clnt,,VBS-Clnt,,C#-Clnt
Total,Blank,Comments,,Word,Exec.,Data,Exec.,Data,Exec.,Data,Exec.,Logical SLOC,,,,,Physical,File,Module
Lines,Lines,Whole,Embed,LOC,Instr,Decl,Instr,Decl,Instr,Decl,Instr,HTML,JS-Clnt,VBS-Clnt,C#-Clnt,Total,SLOC,Type,Name
19,0,0,0,0,18,0,0,0,0,0,0,18,0,0,0,18,19,CODE,ucc_input/samplehtml.html

                                          RESULTS SUMMARY                                          

,,,,HTML,,JS-Clnt,,VBS-Clnt,,C#-Clnt
Total,Blank,Comments,,Word,Exec.,Data,Exec.,Data,Exec.,Data,Exec.,SLOC,,,,,File,SLOC
Lines,Lines,Whole,Embedded,LOC,Instr.,Decl.,Instr.,Decl.,Instr.,Decl.,Instr.,HTML,JS-Clnt,VBS-Clnt,C#-Clnt,Total,Type,Definition
19,0,0,0,0,19,0,0,0,0,0,0,19,0,0,0,19,CODE,Physical
19,0,0,0,0,18,0,0,0,0,0,0,18,0,0,0,18,CODE,Logical

Number of files successfully accessed,1,out of,1

Ratio of Physical to Logical SLOC,    1.06

                                 TOTAL OCCURRENCES OF HTML KEYWORDS                                 
Compiler Directives,,Data Keywords,,Executable Keywords
,,,,address,0
,,,,applet,0
,,,,area,0
,,,,a,1
,,,,base,0
,,,,basefont,0
,,,,big,0
,,,,blockquote,0
,,,,body,1
,,,,br,1
,,,,b,0
,,,,caption,0
,,,,center,1
,,,,cite,0
,,,,code,0
,,,,dd,0
,,,,dfn,0
,,,,dir,0
,,,,div,0
,,,,dl,0
,,,,dt,0
,,,,em,0
,,,,font,0
,,,,form,0
,,,,h1,1
,,,,h2,1
,,,,h3,0
,,,,h4,0
,,,,h5,0
,,,,h6,0
,,,,head,1
,,,,hr,2
,,,,html,1
,,,,img,1
,,,,input,0
,,,,isindex,0
,,,,i,1
,,,,jsp,0
,,,,kbd,0
,,,,link,0
,,,,li,0
,,,,map,0
,,,,menu,0
,,,,meta,0
,,,,ol,0
,,,,option,0
,,,,param,0
,,,,pre,0
,,,,p,2
,,,,samp,0
,,,,script,0
,,,,select,0
,,,,small,0
,,,,span,0
,,,,strike,0
,,,,strong,0
,,,,style,0
,,,,sub,0
,,,,sup,0
,,,,table,0
,,,,td,0
,,,,textarea,0
,,,,th,0
,,,,title,1
,,,,tr,0
,,,,tt,0
,,,,ul,0
,,,,u,0
,,,,var,0
