                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2014.08f on 4 20 2016                              
UCC_2014.08f -i1 fileList.txt -outdir "C:\Users\Swati\Documents\all_files\all_files\dr_class\5_Projects\Test_Suite\2016_1_Spring\Automated_Tests\Tests\Regression test\scripts\ucc_test_suites\version1\output\counting"

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
17,17,17,2.42857,Low,ucc_input/c/input_one/cc_main - Copy.cpp
1,1,1,1,Low,ucc_input/c/input_one/File1.c
1,1,1,1,Low,ucc_input/c/input_one/File1.cpp
1,1,1,1,Low,ucc_input/c/input_one/File2.c
25,29,25,6.25,Low,ucc_input/c/input_one/File2.cpp
28,31,28,28,High,ucc_input/c/input_one/main.cpp
247,277,247,15.4375,Medium,ucc_input/c/input_one/MainObject.cpp

320,357,320,10.3226

                                        RESULTS BY FUNCTION                                        

Cyclomatic Complexity
CC1,CC2,CC3,Risk,Function Name,File Name
1,1,1,Low,void ClearBaselineStats,ucc_input/c/input_one/cc_main - Copy.cpp
1,1,1,Low,void results::resetMetrics,ucc_input/c/input_one/cc_main - Copy.cpp
1,1,1,Low,void results::reset,ucc_input/c/input_one/cc_main - Copy.cpp
1,1,1,Low,void results::clearSLOC,ucc_input/c/input_one/cc_main - Copy.cpp
4,4,4,Low,bool results::addSLOC,ucc_input/c/input_one/cc_main - Copy.cpp
5,5,5,Low,bool results::addSLOC,ucc_input/c/input_one/cc_main - Copy.cpp
4,4,4,Low,bool results::isEmbeddedConsistent,ucc_input/c/input_one/cc_main - Copy.cpp
1,1,1,Low,CXMidasCounter::CXMidasCounter,ucc_input/c/input_one/File1.c
1,1,1,Low,CCCounter::CCCounter,ucc_input/c/input_one/File1.cpp
1,1,1,Low,CXmlCounter::CXmlCounter,ucc_input/c/input_one/File2.c
1,1,1,Low,CMakefileCounter::CMakefileCounter,ucc_input/c/input_one/File2.cpp
14,15,14,Medium,int CMakefileCounter::CountDirectiveSLOC,ucc_input/c/input_one/File2.cpp
4,4,4,Low,int CMakefileCounter::LanguageSpecificProcess,ucc_input/c/input_one/File2.cpp
6,9,6,Low,void CMakefileCounter::LSLOC,ucc_input/c/input_one/File2.cpp
28,31,28,High,int main,ucc_input/c/input_one/main.cpp
2,2,2,Low,MainObject::MainObject,ucc_input/c/input_one/MainObject.cpp
4,4,4,Low,MainObject::~MainObject,ucc_input/c/input_one/MainObject.cpp
4,4,4,Low,bool MainObject::HasUserCancelled,ucc_input/c/input_one/MainObject.cpp
1,1,1,Low,double MainObject::GetDuplicateThreshold,ucc_input/c/input_one/MainObject.cpp
1,1,1,Low,double MainObject::GetMatchThreshold,ucc_input/c/input_one/MainObject.cpp
24,24,24,High,int MainObject::MainProcess,ucc_input/c/input_one/MainObject.cpp
63,75,63,Very High,int MainObject::ParseCommandLine,ucc_input/c/input_one/MainObject.cpp
25,29,25,High,void MainObject::ShowUsage,ucc_input/c/input_one/MainObject.cpp
15,19,15,Medium,void MainObject::ReadUserExtMapping,ucc_input/c/input_one/MainObject.cpp
21,21,21,High,void MainObject::CreateExtMap,ucc_input/c/input_one/MainObject.cpp
7,7,7,Low,void MainObject::StartThreads,ucc_input/c/input_one/MainObject.cpp
44,50,44,High,int MainObject::ReadAllFiles,ucc_input/c/input_one/MainObject.cpp
3,3,3,Low,bool MainObject::IsSupportedFileExtension,ucc_input/c/input_one/MainObject.cpp
11,11,11,Medium,void MainObject::GetLanguageExtensionMap,ucc_input/c/input_one/MainObject.cpp
21,25,21,High,void MainObject::FindDuplicateFiles,ucc_input/c/input_one/MainObject.cpp
1,1,1,Low,void MainObject::ConnectUserIF,ucc_input/c/input_one/MainObject.cpp

320,Total(CC1)
     10.32,Average(CC1)
