                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2014.08f on 4 20 2016                              
UCC_2014.08f -d -i1 fileListA.txt -i2 fileListB.txt -outdir "C:\Users\Swati\Documents\all_files\all_files\dr_class\5_Projects\Test_Suite\2016_1_Spring\Automated_Tests\Tests\Regression test\scripts\ucc_test_suites\version1\output\diff"

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
17,17,17,2.42857,Low,ucc_input/c/input_two/cc_main - Copy.cpp
1,1,1,1,Low,ucc_input/c/input_two/File1.c

18,18,18,2.25

                                        RESULTS BY FUNCTION                                        

Cyclomatic Complexity
CC1,CC2,CC3,Risk,Function Name,File Name
1,1,1,Low,void ClearBaselineStats,ucc_input/c/input_two/cc_main - Copy.cpp
1,1,1,Low,void results::resetMetrics,ucc_input/c/input_two/cc_main - Copy.cpp
1,1,1,Low,void results::reset,ucc_input/c/input_two/cc_main - Copy.cpp
1,1,1,Low,void results::clearSLOC,ucc_input/c/input_two/cc_main - Copy.cpp
4,4,4,Low,bool results::addSLOC,ucc_input/c/input_two/cc_main - Copy.cpp
5,5,5,Low,bool results::addSLOC,ucc_input/c/input_two/cc_main - Copy.cpp
4,4,4,Low,bool results::isEmbeddedConsistent,ucc_input/c/input_two/cc_main - Copy.cpp
1,1,1,Low,CXMidasCounter::CXMidasCounter,ucc_input/c/input_two/File1.c

18,Total(CC1)
      2.25,Average(CC1)
