                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                  SOURCE CODE DIFFERENTIAL RESULTS                                  
                              Generated by UCC v.2014.08f on 4 20 2016                              
UCC_2014.08f -d -i1 fileListA.txt -i2 fileListB.txt -outdir "C:\Users\Swati\Documents\all_files\all_files\dr_class\5_Projects\Test_Suite\2016_1_Spring\Automated_Tests\Tests\Regression test\scripts\ucc_test_suites\version1\output\diff"

New Lines,Deleted Lines,Modified Lines,Unmodified Lines,Modification Type,Language,Module A,Module B
0,0,0,170,Unmod,"C_CPP","ucc_input/c/input_one/cc_main - Copy.cpp","ucc_input/c/input_two/cc_main - Copy.cpp"
0,0,0,170,Unmod,"C_CPP","ucc_input/c/input_one/cc_main.cpp","ucc_input/c/input_two/cc_main.cpp"
0,0,0,120,Unmod,"C_CPP","ucc_input/c/input_one/cc_main.h","ucc_input/c/input_two/cc_main.h"
0,9,0,29,Mod,"C_CPP","ucc_input/c/input_one/File1.c","ucc_input/c/input_two/File1.c"
0,187,0,0,Del,"C_CPP","ucc_input/c/input_one/File1.cpp","NA"
0,7,0,0,Del,"C_CPP","ucc_input/c/input_one/File2.c","NA"
0,95,0,0,Del,"C_CPP","ucc_input/c/input_one/File2.cpp","NA"
0,14,0,0,Del,"C_CPP","ucc_input/c/input_one/File2.h","NA"
0,178,0,0,Del,"C_CPP","ucc_input/c/input_one/main.cpp","NA"
0,1173,0,0,Del,"C_CPP","ucc_input/c/input_one/MainObject.cpp","NA"

Total New Lines,Total Deleted Lines,Total Modified Lines,Total Unmodified Lines
0,1663,0,489
