                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                              Generated by UCC v.2015.12 on 9 19 2016                              
                               UCC -dir src *.cpp -outdir Assignment                               

                                      RESULTS FOR C_CPP FILES                                      

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
775,58,145,7,1,21,373,395,572,CODE,src/CAdaCounter.cpp
295,32,91,30,1,14,100,115,172,CODE,src/CAssemblyCounter.cpp
599,43,88,0,1,19,323,343,468,CODE,src/CBashCounter.cpp
902,96,139,13,20,42,491,553,667,CODE,src/CBatchCounter.cpp
315,43,69,13,4,13,153,170,203,CODE,src/cc_main.cpp
237,18,30,2,1,0,186,187,189,CODE,src/CCCounter.cpp
658,57,100,11,1,25,335,361,501,CODE,src/CCFScriptCounter.cpp
820,82,138,14,6,31,388,425,600,CODE,src/CCJavaCsScalaCounter.cpp
978,102,163,155,1,21,598,620,713,CODE,src/CCobolCounter.cpp
2828,322,620,146,39,124,1126,1289,1886,CODE,src/CCodeCounter.cpp
282,26,31,2,1,1,198,200,225,CODE,src/CColdFusionCounter.cpp
348,25,53,1,1,2,222,225,270,CODE,src/CCsharpCounter.cpp
785,71,119,1,1,33,402,436,595,CODE,src/CCshCounter.cpp
262,21,56,1,1,9,153,163,185,CODE,src/CCssCounter.cpp
17,2,9,0,1,0,3,4,6,CODE,src/CDataCounter.cpp
1042,68,137,19,1,30,558,589,837,CODE,src/CFortranCounter.cpp
140,13,21,0,1,0,95,96,106,CODE,src/CHtmlCounter.cpp
1016,93,85,45,1,23,521,545,838,CODE,src/CIdlCounter.cpp
141,14,25,0,1,0,97,98,102,CODE,src/CJavaCounter.cpp
1042,89,150,6,1,29,530,560,803,CODE,src/CJavascriptCounter.cpp
210,21,55,1,1,13,81,95,134,CODE,src/CMakefileCounter.cpp
586,54,102,11,1,26,293,320,430,CODE,src/CMatlabCounter.cpp
463,38,75,3,1,19,231,251,350,CODE,src/CMidasCounter.cpp
594,74,168,24,4,23,189,216,352,CODE,src/CmpMngr.cpp
396,50,28,1,5,15,117,137,318,CODE,src/CmpMngrHtml.cpp
40,9,9,0,1,0,19,20,22,CODE,src/CNeXtMidasCounter.cpp
1237,103,179,13,1,38,632,671,955,CODE,src/CPascalCounter.cpp
988,74,135,4,1,28,514,543,779,CODE,src/CPerlCounter.cpp
875,73,129,7,1,27,463,491,673,CODE,src/CPhpCounter.cpp
1151,110,228,24,3,43,539,585,813,CODE,src/CPythonCounter.cpp
666,51,98,9,1,25,329,355,517,CODE,src/CRubyCounter.cpp
1079,69,444,28,5,35,360,400,566,CODE,src/CScalaCounter.cpp
943,74,104,4,5,31,522,558,765,CODE,src/CSqlCounter.cpp
343,26,64,0,1,18,149,168,253,CODE,src/CTagCounter.cpp
2488,250,819,110,76,104,787,967,1419,CODE,src/CUtil.cpp
602,52,56,3,2,18,369,389,494,CODE,src/CVbCounter.cpp
146,19,40,1,2,0,55,57,87,CODE,src/CVbscriptCounter.cpp
1305,102,172,20,2,45,732,779,1031,CODE,src/CVerilogCounter.cpp
1774,129,227,24,2,42,936,980,1418,CODE,src/CVHDLCounter.cpp
1183,78,133,8,5,91,589,685,972,CODE,src/CWebCounter.cpp
57,8,9,0,1,0,37,38,40,CODE,src/CXMidasCounter.cpp
22,4,9,0,1,0,6,7,9,CODE,src/CXmlCounter.cpp
2113,240,538,102,46,68,802,916,1335,CODE,src/DiffTool.cpp
1000,145,189,76,9,80,400,489,666,CODE,src/LangUtils.cpp
381,46,99,24,30,22,126,178,236,CODE,src/main.cpp
2653,251,722,155,99,121,952,1172,1680,CODE,src/MainObject.cpp
1389,208,467,24,55,85,365,505,714,CODE,src/UCCExceptDump.cpp
8660,522,418,297,24,82,6805,6911,7720,CODE,src/UCCFilesOut.cpp
128,35,44,25,6,24,19,49,49,CODE,src/UCCGlobals.cpp
4760,599,1092,235,150,221,1461,1832,3069,CODE,src/UCCThread.cpp
394,38,107,11,15,20,127,162,249,CODE,src/UserIF.cpp

                                          RESULTS SUMMARY                                          

Total,Blank,Comments,,Compiler,Data,Exec.,,File,SLOC
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,Type,Definition
52108,4827,9228,1710,725,2192,35136,38053,CODE,Physical
52108,4827,9228,1710,641,1801,25858,28300,CODE,Logical

Number of files successfully accessed,51,out of,51

Ratio of Physical to Logical SLOC,    1.34

                                TOTAL OCCURRENCES OF C_CPP KEYWORDS                                
Compiler Directives,,Data Keywords,,Executable Keywords
#define,32,asm,0,break,449
#dictionary,0,auto,0,case,254
#error,0,bool,646,catch,43
#if,15,char,93,cerr,0
#ifdef,150,class,0,cin,0
#ifndef,12,const,356,clog,0
#else,77,double,22,const_cast,0
#elif,0,enum,3,continue,230
#endif,177,explicit,0,cout,95
#import,0,extern,30,default,31
#include,170,FILE,4,delete,17
#line,0,float,6,do,9
#module,0,friend,0,dynamic_cast,0
#pragma,4,inline,0,else,1203
#undef,4,int,1014,entry,0
#using,0,long,108,for,460
# define,0,mutable,0,goto,3
# dictionary,0,namespace,9,if,4172
# error,0,operator,0,new,75
# if,0,register,0,reinterpret_cast,0
# ifdef,0,short,0,return,552
# ifndef,0,static,12,sizeof,58
# else,0,string,985,stderr,3
# elif,0,struct,33,stdin,0
# endif,0,template,0,stdout,0
# import,0,typedef,1,switch,46
# include,0,union,0,static_cast,13
# line,0,unsigned,637,throw,0
# module,0,using,9,try,5
# pragma,0,virtual,0,typeid,0
# undef,0,void,140,while,149
# using,0,volatile,6,
,,wchar_t,0,
