                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                              Generated by UCC v.2015.12 on 9 12 2016                              
                UCC -d -t 30 -dir src "/Users/rishabhsharma/Downloads/GENERAL UCC/"                

                                      RESULTS FOR C_CPP FILES                                      

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
775,58,145,7,1,21,373,395,572,CODE,src/CAdaCounter.cpp
48,8,18,2,4,7,3,14,22,CODE,src/CAdaCounter.h
295,32,91,30,1,14,100,115,172,CODE,src/CAssemblyCounter.cpp
45,8,18,5,4,6,4,14,19,CODE,src/CAssemblyCounter.h
599,43,88,0,1,19,323,343,468,CODE,src/CBashCounter.cpp
48,8,19,3,4,5,4,13,21,CODE,src/CBashCounter.h
902,96,139,13,20,42,491,553,667,CODE,src/CBatchCounter.cpp
50,9,19,5,4,6,4,14,22,CODE,src/CBatchCounter.h
315,43,69,13,4,13,153,170,203,CODE,src/cc_main.cpp
329,40,92,121,28,60,32,120,197,CODE,src/cc_main.h
237,18,30,2,1,0,186,187,189,CODE,src/CCCounter.cpp
38,7,19,2,4,2,2,8,12,CODE,src/CCCounter.h
658,57,100,11,1,25,335,361,501,CODE,src/CCFScriptCounter.cpp
46,8,18,2,4,4,3,11,20,CODE,src/CCFScriptCounter.h
820,82,138,14,6,31,388,425,600,CODE,src/CCJavaCsScalaCounter.cpp
47,8,18,0,4,6,2,12,21,CODE,src/CCJavaCsScalaCounter.h
978,102,163,155,1,21,598,620,713,CODE,src/CCobolCounter.cpp
50,10,19,3,4,8,4,16,21,CODE,src/CCobolCounter.h
2828,322,620,146,39,124,1126,1289,1886,CODE,src/CCodeCounter.cpp
387,46,67,146,41,81,68,190,274,CODE,src/CCodeCounter.h
282,26,31,2,1,1,198,200,225,CODE,src/CColdFusionCounter.cpp
41,7,18,2,4,3,3,10,16,CODE,src/CColdFusionCounter.h
348,25,53,1,1,2,222,225,270,CODE,src/CCsharpCounter.cpp
116,21,55,8,4,8,11,23,40,CODE,src/CCsharpCounter.h
785,71,119,1,1,33,402,436,595,CODE,src/CCshCounter.cpp
51,9,19,8,4,7,6,17,23,CODE,src/CCshCounter.h
262,21,56,1,1,9,153,163,185,CODE,src/CCssCounter.cpp
42,8,18,2,4,3,3,10,16,CODE,src/CCssCounter.h
17,2,9,0,1,0,3,4,6,CODE,src/CDataCounter.cpp
37,7,18,2,4,1,3,8,12,CODE,src/CDataCounter.h
1042,68,137,19,1,30,558,589,837,CODE,src/CFortranCounter.cpp
51,9,19,3,4,7,4,15,23,CODE,src/CFortranCounter.h
140,13,21,0,1,0,95,96,106,CODE,src/CHtmlCounter.cpp
133,23,66,10,4,5,15,24,44,CODE,src/CHtmlCounter.h
1016,93,85,45,1,23,521,545,838,CODE,src/CIdlCounter.cpp
48,9,18,2,4,6,4,14,21,CODE,src/CIdlCounter.h
141,14,25,0,1,0,97,98,102,CODE,src/CJavaCounter.cpp
62,11,31,4,4,3,5,12,20,CODE,src/CJavaCounter.h
1042,89,150,6,1,29,530,560,803,CODE,src/CJavascriptCounter.cpp
216,36,102,17,4,13,24,41,78,CODE,src/CJavascriptCounter.h
210,21,55,1,1,13,81,95,134,CODE,src/CMakefileCounter.cpp
42,8,18,2,4,4,3,11,16,CODE,src/CMakefileCounter.h
586,54,102,11,1,26,293,320,430,CODE,src/CMatlabCounter.cpp
45,8,18,2,4,5,3,12,19,CODE,src/CMatlabCounter.h
463,38,75,3,1,19,231,251,350,CODE,src/CMidasCounter.cpp
44,8,18,2,4,4,3,11,18,CODE,src/CMidasCounter.h
594,74,168,24,4,23,189,216,352,CODE,src/CmpMngr.cpp
90,22,25,6,4,20,12,36,43,CODE,src/CmpMngr.h
396,50,28,1,5,15,117,137,318,CODE,src/CmpMngrHtml.cpp
115,24,6,3,14,19,27,60,85,CODE,src/CmpMngrHtml.h
40,9,9,0,1,0,19,20,22,CODE,src/CNeXtMidasCounter.cpp
37,7,18,2,4,1,3,8,12,CODE,src/CNeXtMidasCounter.h
1237,103,179,13,1,38,632,671,955,CODE,src/CPascalCounter.cpp
48,8,18,2,4,7,3,14,22,CODE,src/CPascalCounter.h
988,74,135,4,1,28,514,543,779,CODE,src/CPerlCounter.cpp
49,8,18,2,4,7,3,14,23,CODE,src/CPerlCounter.h
875,73,129,7,1,27,463,491,673,CODE,src/CPhpCounter.cpp
50,9,19,3,4,5,4,13,22,CODE,src/CPhpCounter.h
1151,110,228,24,3,43,539,585,813,CODE,src/CPythonCounter.cpp
50,8,18,5,4,10,4,18,24,CODE,src/CPythonCounter.h
666,51,98,9,1,25,329,355,517,CODE,src/CRubyCounter.cpp
46,9,18,3,4,6,3,13,19,CODE,src/CRubyCounter.h
1079,69,444,28,5,35,360,400,566,CODE,src/CScalaCounter.cpp
51,9,21,0,4,5,3,12,21,CODE,src/CScalaCounter.h
943,74,104,4,5,31,522,558,765,CODE,src/CSqlCounter.cpp
67,12,30,4,4,5,6,15,25,CODE,src/CSqlCounter.h
343,26,64,0,1,18,149,168,253,CODE,src/CTagCounter.cpp
46,8,18,3,4,4,5,13,20,CODE,src/CTagCounter.h
2488,250,819,110,76,104,787,967,1419,CODE,src/CUtil.cpp
163,28,48,1,23,49,2,74,87,CODE,src/CUtil.h
602,52,56,3,2,18,369,389,494,CODE,src/CVbCounter.cpp
45,9,18,3,4,4,4,12,18,CODE,src/CVbCounter.h
146,19,40,1,2,0,55,57,87,CODE,src/CVbscriptCounter.cpp
206,35,102,16,4,9,24,37,69,CODE,src/CVbscriptCounter.h
1305,102,172,20,2,45,732,779,1031,CODE,src/CVerilogCounter.cpp
50,9,18,3,5,7,3,15,23,CODE,src/CVerilogCounter.h
1774,129,227,24,2,42,936,980,1418,CODE,src/CVHDLCounter.cpp
62,10,18,3,4,14,4,22,34,CODE,src/CVHDLCounter.h
1183,78,133,8,5,91,589,685,972,CODE,src/CWebCounter.cpp
110,17,20,49,4,39,25,68,73,CODE,src/CWebCounter.h
57,8,9,0,1,0,37,38,40,CODE,src/CXMidasCounter.cpp
37,7,18,2,4,1,3,8,12,CODE,src/CXMidasCounter.h
22,4,9,0,1,0,6,7,9,CODE,src/CXmlCounter.cpp
37,7,18,2,4,1,3,8,12,CODE,src/CXmlCounter.h
2113,240,538,102,46,68,802,916,1335,CODE,src/DiffTool.cpp
192,28,80,25,20,31,20,71,84,CODE,src/DiffTool.h
1000,145,189,76,9,80,400,489,666,CODE,src/LangUtils.cpp
162,20,58,8,42,15,10,67,84,CODE,src/LangUtils.h
381,46,99,24,30,22,126,178,236,CODE,src/main.cpp
2653,251,722,155,99,121,952,1172,1680,CODE,src/MainObject.cpp
259,35,79,58,11,65,48,124,145,CODE,src/MainObject.h
237,48,85,1,16,1,40,57,104,CODE,src/sema.h
45,6,28,5,11,0,0,11,11,CODE,src/UCCAfterLibraryIncludes.h
77,3,68,3,6,0,0,6,6,CODE,src/UCCBeforeLibraryIncludes.h
1389,208,467,24,55,85,365,505,714,CODE,src/UCCExceptDump.cpp
98,17,34,7,25,8,1,34,47,CODE,src/UCCExceptDump.h
8660,522,418,297,24,82,6805,6911,7720,CODE,src/UCCFilesOut.cpp
202,27,53,36,14,44,41,99,122,CODE,src/UCCFilesOut.h
128,35,44,25,6,24,19,49,49,CODE,src/UCCGlobals.cpp
126,36,39,22,12,39,0,51,51,CODE,src/UCCGlobals.h
4760,599,1092,235,150,221,1461,1832,3069,CODE,src/UCCThread.cpp
320,27,130,10,26,24,28,78,163,CODE,src/UCCThread.h
394,38,107,11,15,20,127,162,249,CODE,src/UserIF.cpp
117,27,37,12,12,18,10,40,53,CODE,src/UserIF.h

                                          RESULTS SUMMARY                                          

Total,Blank,Comments,,Compiler,Data,Exec.,,File,SLOC
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,Type,Definition
57318,5663,11113,2362,1179,3107,36256,40542,CODE,Physical
57318,5663,11113,2362,1095,2513,26410,30018,CODE,Logical

Number of files successfully accessed,104,out of,104

Ratio of Physical to Logical SLOC,    1.35

                                TOTAL OCCURRENCES OF C_CPP KEYWORDS                                
Compiler Directives,,Data Keywords,,Executable Keywords
#define,192,asm,0,break,449
#dictionary,0,auto,0,case,254
#error,1,bool,892,catch,43
#if,18,char,124,cerr,0
#ifdef,166,class,81,cin,0
#ifndef,66,const,546,clog,0
#else,83,double,28,const_cast,0
#elif,2,enum,9,continue,230
#endif,250,explicit,0,cout,95
#import,0,extern,80,default,31
#include,296,FILE,4,delete,17
#line,0,float,7,do,10
#module,0,friend,0,dynamic_cast,0
#pragma,14,inline,0,else,1203
#undef,7,int,1489,entry,0
#using,0,long,143,for,464
# define,0,mutable,0,goto,3
# dictionary,0,namespace,15,if,4172
# error,0,operator,66,new,75
# if,0,register,0,reinterpret_cast,0
# ifdef,0,short,0,return,563
# ifndef,0,static,52,sizeof,58
# else,0,string,1381,stderr,3
# elif,0,struct,48,stdin,0
# endif,0,template,0,stdout,0
# import,0,typedef,30,switch,46
# include,0,union,0,static_cast,13
# line,0,unsigned,949,throw,0
# module,0,using,21,try,5
# pragma,0,virtual,91,typeid,0
# undef,0,void,258,while,152
# using,0,volatile,6,
,,wchar_t,0,
