                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                              Generated by UCC v.2015.12 on 9 12 2016                              
                UCC -d -t 30 -dir src "/Users/rishabhsharma/Downloads/GENERAL UCC/"                

                                       RESULTS FOR CSS FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
1,0,0,0,0,32,63,95,1,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/main.css
11,0,10,1,0,173,408,581,1,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pure-min.css
1,0,0,0,0,1980,6871,8851,1,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/sumome-share-client.css
1,0,0,0,0,363,892,1255,1,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/viewer.css

                                          RESULTS SUMMARY                                          

Total,Blank,Comments,,Compiler,Data,Exec.,,File,SLOC
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,Type,Definition
14,0,10,1,0,4,0,4,CODE,Physical
14,0,10,1,0,2548,8234,10782,CODE,Logical

Number of files successfully accessed,4,out of,4

Ratio of Physical to Logical SLOC,    0.00

                                 TOTAL OCCURRENCES OF CSS KEYWORDS                                 
Compiler Directives,,Data Keywords,,Executable Keywords
,,,,azimuth,0
,,,,background,241
,,,,background-attachment,0
,,,,background-color,89
,,,,background-image,29
,,,,background-repeat,7
,,,,background-position,15
,,,,border,2460
,,,,border-bottom,63
,,,,border-collapse,9
,,,,border-bottom-color,2
,,,,border-bottom-style,0
,,,,border-bottom-width,2
,,,,border-left,12
,,,,border-left-color,1
,,,,border-left-style,0
,,,,border-left-width,1
,,,,border-right,5
,,,,border-right-color,1
,,,,border-right-style,0
,,,,border-right-width,0
,,,,border-spacing,10
,,,,border-style,2
,,,,border-top,52
,,,,border-top-color,2
,,,,border-top-style,0
,,,,border-top-width,0
,,,,border-width,18
,,,,bottom,247
,,,,caption-side,0
,,,,clear,86
,,,,clip,10
,,,,content,1791
,,,,counter-decrement,0
,,,,counter-increment,0
,,,,counter-reset,0
,,,,cue,0
,,,,cue-after,0
,,,,cue-before,0
,,,,cursor,63
,,,,direction,6
,,,,empty-cells,1
,,,,float,133
,,,,font,371
,,,,font-family,46
,,,,font-size,178
,,,,font-style,38
,,,,font-variant,0
,,,,font-weight,97
,,,,height,267
,,,,left,996
,,,,letter-spacing,10
,,,,line-height,116
,,,,list-style,39
,,,,list-style-image,0
,,,,list-style-position,5
,,,,list-style-type,16
,,,,line-width,0
,,,,margin,522
,,,,margin-bottom,84
,,,,margin-left,220
,,,,margin-right,45
,,,,margin-top,26
,,,,max-height,22
,,,,max-width,60
,,,,min-height,25
,,,,min-width,37
,,,,orphans,0
,,,,outline,45
,,,,outline-color,1
,,,,outline-style,1
,,,,outline-width,0
,,,,padding,234
,,,,padding-bottom,8
,,,,padding-left,30
,,,,padding-right,25
,,,,padding-top,12
,,,,page-break-after,0
,,,,page-break-before,0
,,,,pause,0
,,,,pause-after,0
,,,,pitch,0
,,,,play,0
,,,,play-during,0
,,,,pitch-range,0
,,,,position,752
,,,,quptes,0
,,,,richness,0
,,,,right,757
,,,,speak,0
,,,,speak-header,0
,,,,speak-numeral,0
,,,,speak-punctuation,0
,,,,speech-rate,0
,,,,stress,0
,,,,table-layout,0
,,,,text,859
,,,,text-transform,22
,,,,text-indent,1
,,,,text-decoration,29
,,,,text-align,391
,,,,top,194
,,,,unicode-bidi,0
,,,,vertical-align,37
,,,,visibility,18
,,,,voice-family,0
,,,,volume,0
,,,,white-space,10
,,,,width,511
,,,,word-spacing,4
,,,,z-index,36
