                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                              Generated by UCC v.2015.12 on 9 12 2016                              
                UCC -d -t 30 -dir src "/Users/rishabhsharma/Downloads/GENERAL UCC/"                

                                      RESULTS FOR C_CPP FILES                                      

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
69,6,18,0,4,0,28,32,45,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GAsciiDialog.cpp
37,8,12,2,5,1,5,11,17,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GAsciiDialog.h
335,37,49,0,4,6,167,177,249,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GExtensionDialog.cpp
54,10,12,5,6,12,6,24,32,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GExtensionDialog.h
32,4,12,0,2,0,9,11,16,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GFileOpenMenu.cpp
32,6,12,1,5,0,4,9,14,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GFileOpenMenu.h
1632,159,206,14,33,37,819,889,1267,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GMainWindow.cpp
106,13,14,6,16,42,13,71,79,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GMainWindow.h
58,14,14,0,7,0,13,20,30,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GSideBySideDialog.cpp
39,9,12,1,6,2,4,12,18,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GSideBySideDialog.h
115,6,19,0,3,1,57,61,90,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GTableDialog.cpp
37,8,12,2,5,1,5,11,17,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GTableDialog.h
42,5,15,0,6,0,13,19,22,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GUtil.cpp
25,4,12,1,4,1,1,6,9,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GUtil.h
25,2,14,0,2,0,5,7,9,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//gui/Qt_main.cpp
60,15,22,0,5,1,10,16,23,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//gui/UCCWorker.cpp
50,13,17,2,8,3,4,15,20,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//gui/UCCWorker.h
775,58,145,7,1,21,373,395,572,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CAdaCounter.cpp
48,8,18,2,4,7,3,14,22,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CAdaCounter.h
295,32,91,30,1,14,100,115,172,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CAssemblyCounter.cpp
45,8,18,5,4,6,4,14,19,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CAssemblyCounter.h
599,43,88,0,1,19,323,343,468,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CBashCounter.cpp
48,8,19,3,4,5,4,13,21,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CBashCounter.h
902,96,139,13,20,42,491,553,667,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CBatchCounter.cpp
50,9,19,5,4,6,4,14,22,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CBatchCounter.h
315,43,69,13,4,13,153,170,203,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/cc_main.cpp
329,40,92,121,28,60,32,120,197,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/cc_main.h
237,18,30,2,1,0,186,187,189,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCCounter.cpp
38,7,19,2,4,2,2,8,12,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCCounter.h
658,57,100,11,1,25,335,361,501,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCFScriptCounter.cpp
46,8,18,2,4,4,3,11,20,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCFScriptCounter.h
820,82,138,14,6,31,388,425,600,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCJavaCsScalaCounter.cpp
47,8,18,0,4,6,2,12,21,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCJavaCsScalaCounter.h
976,102,161,155,1,21,598,620,713,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCobolCounter.cpp
50,10,19,3,4,8,4,16,21,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCobolCounter.h
2828,322,620,146,39,124,1126,1289,1886,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCodeCounter.cpp
387,46,67,146,41,81,68,190,274,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCodeCounter.h
282,26,31,2,1,1,198,200,225,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CColdFusionCounter.cpp
41,7,18,2,4,3,3,10,16,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CColdFusionCounter.h
348,25,53,1,1,2,222,225,270,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCsharpCounter.cpp
116,21,55,8,4,8,11,23,40,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCsharpCounter.h
785,71,119,1,1,33,402,436,595,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCshCounter.cpp
51,9,19,8,4,7,6,17,23,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCshCounter.h
262,21,56,1,1,9,153,163,185,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCssCounter.cpp
42,8,18,2,4,3,3,10,16,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCssCounter.h
17,2,9,0,1,0,3,4,6,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CDataCounter.cpp
37,7,18,2,4,1,3,8,12,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CDataCounter.h
1042,68,137,19,1,30,558,589,837,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CFortranCounter.cpp
51,9,19,3,4,7,4,15,23,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CFortranCounter.h
140,13,21,0,1,0,95,96,106,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CHtmlCounter.cpp
133,23,66,10,4,5,15,24,44,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CHtmlCounter.h
1016,93,85,45,1,23,521,545,838,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CIdlCounter.cpp
48,9,18,2,4,6,4,14,21,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CIdlCounter.h
141,14,25,0,1,0,97,98,102,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CJavaCounter.cpp
62,11,31,4,4,3,5,12,20,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CJavaCounter.h
1040,89,150,6,1,29,528,558,801,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CJavascriptCounter.cpp
216,36,102,17,4,13,24,41,78,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CJavascriptCounter.h
210,21,55,1,1,13,81,95,134,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CMakefileCounter.cpp
42,8,18,2,4,4,3,11,16,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CMakefileCounter.h
586,54,102,11,1,26,293,320,430,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CMatlabCounter.cpp
45,8,18,2,4,5,3,12,19,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CMatlabCounter.h
463,38,75,3,1,19,231,251,350,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CMidasCounter.cpp
44,8,18,2,4,4,3,11,18,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CMidasCounter.h
594,74,168,24,4,23,189,216,352,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CmpMngr.cpp
90,22,25,6,4,20,12,36,43,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CmpMngr.h
385,50,26,1,5,15,117,137,309,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CmpMngrHtml.cpp
115,24,6,3,14,19,27,60,85,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CmpMngrHtml.h
40,9,9,0,1,0,19,20,22,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CNeXtMidasCounter.cpp
37,7,18,2,4,1,3,8,12,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CNeXtMidasCounter.h
1237,103,179,13,1,38,632,671,955,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CPascalCounter.cpp
