                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                      COMPLEXITY COUNT RESULTS                                      
                              Generated by UCC v.2015.12 on 9 12 2016                              
                UCC -d -t 30 -dir src "/Users/rishabhsharma/Downloads/GENERAL UCC/"                

Math,Trigonometric,Logarithmic,Calculations,Conditionals,Logical,Preprocessor,Assignment,Pointer,L1-Loops,L2-Loops,L3-Loops,L4-Loops,L5-Loops,File Name
0,0,0,0,0,0,0,1,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC// hello-world/main.py
0,0,0,1,1,1,0,3,0,1,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//breakTime.py
0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//engineapp/main.py
0,0,0,0,0,0,0,4,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF.html
10,0,0,82,190,6,0,80,0,32,44,1,1,0,/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/analytics.js
0,0,0,18,71,24,0,44,0,4,2,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/compatibility.js
2,0,0,31,69,15,0,33,0,5,5,4,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/debugger.js
3,0,0,36,44,8,0,43,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/jquery.min.js
0,0,0,31,148,11,0,49,0,7,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/l10n.js
0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/main.css
