                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2015.12 on 9 12 2016                              
             UCC -d -t 30 -dir src "/Users/rishabhsharma/Downloads/GENERAL UCC/" -ascii             

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
 Total_CC1 Total_CC2 Total_CC3 Average_CC1  Risk        |   Name
--------------------------------------------------------+-----------------------
         1         1       N/A      1.00    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC// hello-world/main.py
         2         2       N/A      2.00    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//breakTime.py
         1         1       N/A      1.00    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//engineapp/main.py
         2         2         2      1.00    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF.html
       197       251       197     12.31    Medium      |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/analytics.js
        61        61        61     30.50    High        |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/compatibility.js
        61        63        60     30.50    High        |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/debugger.js
         1         1         1      1.00    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/jquery.min.js
       129       142       129     18.43    Medium      |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/l10n.js
       611       622       520     33.94    High        |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pdf.js
       498       653       483    124.50    Very High   |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/service(1).js
       339       430       333     84.75    Very High   |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/service.js
       717       732       655     59.75    Very High   |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/viewer.js
         7         7         7      3.50    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GAsciiDialog.cpp
        40        42        40      3.64    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GExtensionDialog.cpp
         2         2         2      2.00    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GFileOpenMenu.cpp
       233       246       233      5.68    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GMainWindow.cpp
         5         5         5      2.50    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GSideBySideDialog.cpp
        21        25        21     10.50    Medium      |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GTableDialog.cpp
         3         3         3      3.00    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GUtil.cpp
         1         1         1      1.00    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/Qt_main.cpp
         4         4         4      1.00    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/UCCWorker.cpp
         2         2       N/A      1.00    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//mindstorms.py
         1         1       N/A      1.00    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//sendmessage.py
         5         5       N/A      1.00    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//shoppinglist/main.py
        83        97        81     11.86    Medium      |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CAdaCounter.cpp
        27        53        27      5.40    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CAssemblyCounter.cpp
        77       101        77     15.40    Medium      |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CBashCounter.cpp
        83       120        83     13.83    Medium      |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CBatchCounter.cpp
        17        17        17      2.43    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/cc_main.cpp
         1         1         1      1.00    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CCCounter.cpp
        81       120        77     20.25    High        |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CCFScriptCounter.cpp
       107       150       103     21.40    High        |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CCJavaCsScalaCounter.cpp
