                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                  SOURCE CODE DIFFERENTIAL RESULTS                                  
                              Generated by UCC v.2015.12 on 9 12 2016                              
                UCC -d -t 30 -dir src "/Users/rishabhsharma/Downloads/GENERAL UCC/"                

New Lines,Deleted Lines,Modified Lines,Unmodified Lines,Modification Type,Language,Module A,Module B
0,0,0,395,Unmod,"C_CPP","src/CAdaCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CAdaCounter.cpp"
0,0,0,14,Unmod,"C_CPP","src/CAdaCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CAdaCounter.h"
0,0,0,115,Unmod,"C_CPP","src/CAssemblyCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CAssemblyCounter.cpp"
0,0,0,14,Unmod,"C_CPP","src/CAssemblyCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CAssemblyCounter.h"
0,0,0,343,Unmod,"C_CPP","src/CBashCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CBashCounter.cpp"
0,0,0,13,Unmod,"C_CPP","src/CBashCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CBashCounter.h"
0,0,0,553,Unmod,"C_CPP","src/CBatchCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CBatchCounter.cpp"
0,0,0,14,Unmod,"C_CPP","src/CBatchCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CBatchCounter.h"
0,0,0,170,Unmod,"C_CPP","src/cc_main.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/cc_main.cpp"
0,0,0,120,Unmod,"C_CPP","src/cc_main.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/cc_main.h"
0,0,0,187,Unmod,"C_CPP","src/CCCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCCounter.cpp"
0,0,0,8,Unmod,"C_CPP","src/CCCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCCounter.h"
0,0,0,361,Unmod,"C_CPP","src/CCFScriptCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCFScriptCounter.cpp"
0,0,0,11,Unmod,"C_CPP","src/CCFScriptCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCFScriptCounter.h"
0,0,0,425,Unmod,"C_CPP","src/CCJavaCsScalaCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCJavaCsScalaCounter.cpp"
0,0,0,12,Unmod,"C_CPP","src/CCJavaCsScalaCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCJavaCsScalaCounter.h"
0,0,1,619,Mod,"C_CPP","src/CCobolCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCobolCounter.cpp"
0,0,0,16,Unmod,"C_CPP","src/CCobolCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CCobolCounter.h"
